date,indeks,price (EUR/t_CO2),volume (t)
0.484513889,t3pa,79.02,2506500
0.526180556,t3pa,77.36,2506500
0.567847222,t3pa,77.27,3322500
0.609513889,t3pa,78.8,2506500
0.817847222,t3pa,79.4,2506500
0.901180556,t3pa,85.9,2506500
0.942847222,t3pa,87.4,1944000
25.04.2022,t3pa,85.81,2506500
26.04.2022,t3pa,83.43,2506500
27.04.2022,t3pa,79.99,3322500
28.04.2022,t3pa,80.55,2506500
29.04.2022,t3pa,82.86,1944000
0.110208333,t3pa,82.84,2506500
0.151875,t3pa,84.25,2506500
0.235208333,t3pa,87.8,2506500
0.276875,t3pa,90.77,1944000
0.401875,t3pa,90.11,2506500
0.443541667,t3pa,86.5,2506500
0.485208333,t3pa,89,2658000
0.526875,t3pa,86.95,2506500
0.568541667,t3pa,88.75,1944000
0.693541667,t3pa,88.81,2506500
0.735208333,t3pa,90.33,2506500
0.818541667,t3pa,82.28,2506500
0.860208333,t3pa,81.15,1944000
0.985208333,t3pa,78.96,2506500
24.05.2022,t3pa,78.88,2506500
25.05.2022,t3pa,80.43,2658000
30.05.2022,t3pa,83.75,2506500
31.05.2022,t3pa,83.63,2506500
0.319236111,t3pa,81.69,2295500
0.360902778,t3pa,79.11,2658000
0.402569444,t3pa,80.21,2295500
0.444236111,t3pa,80.73,1944000
0.569236111,t3pa,80.1,2295500
0.610902778,t3pa,82.31,2295500
0.694236111,t3pa,85.95,2295500
0.735902778,t3pa,83,1944000
0.860902778,t3pa,83.51,2295500
0.902569444,t3pa,84.26,2295500
0.944236111,t3pa,83.06,2658000
0.985902778,t3pa,81.07,2295500
24.06.2022,t3pa,82.9,1944000
27.06.2022,t3pa,83.01,2295500
28.06.2022,t3pa,84.54,2296500
30.06.2022,t3pa,88.02,2295500
0.069930556,t3pa,88.22,1944000
0.194930556,t3pa,84.34,2295500
0.236597222,t3pa,83.38,2295500
0.278263889,t3pa,82.63,2658000
0.319930556,t3pa,83.36,2295500
0.361597222,t3pa,82.63,1944000
0.486597222,t3pa,83.4,2295500
0.528263889,t3pa,83.89,2295500
0.611597222,t3pa,83,2295500
0.653263889,t3pa,83.71,1944000
0.778263889,t3pa,83.33,2295500
0.819930556,t3pa,83.61,2295500
0.861597222,t3pa,81.22,2658000
0.903263889,t3pa,77.6,2295500
0.944930556,t3pa,78.06,1944000
25.07.2022,t3pa,76.09,2295500
26.07.2022,t3pa,76.51,2295500
28.07.2022,t3pa,77.08,2295500
29.07.2022,t3pa,77.96,1944000
0.070625,t3pa,79.5,1146500
0.112291667,t3pa,80.51,1146500
0.153958333,t3pa,83.45,1329000
0.195625,t3pa,83.81,1146500
0.237291667,t3pa,84.5,972000
0.362291667,t3pa,84.6,1146500
0.403958333,t3pa,84.06,1146500
0.487291667,t3pa,86.35,1146500
0.528958333,t3pa,87.3,972000
0.653958333,t3pa,89.5,1146500
0.695625,t3pa,90.64,1146500
0.737291667,t3pa,94.07,1329000
0.778958333,t3pa,94,1146500
0.820625,t3pa,96.87,972000
0.945625,t3pa,97.5,1146500
0.987291667,t3pa,92.52,1146500
25.08.2022,t3pa,89.3,1146500
26.08.2022,t3pa,89.56,982000
29.08.2022,t3pa,88.81,1146500
30.08.2022,t3pa,85.13,1295500
31.08.2022,t3pa,78.96,1334500
0.071319444,t3pa,77.01,2510500
0.112986111,t3pa,78.41,1861500
0.237986111,t3pa,73.75,2510500
0.279652778,t3pa,71.05,2510500
0.404652778,t3pa,65.21,1861500
0.529652778,t3pa,65.96,2510500
0.571319444,t3pa,70.48,2510500
0.612986111,t3pa,68.29,3101500
0.654652778,t3pa,70.84,2510500
0.696319444,t3pa,71,1861500
0.821319444,t3pa,71.11,2510500
0.862986111,t3pa,70.38,2510500
0.904652778,t3pa,70.39,929000
0.946319444,t3pa,69.88,2511500
0.987986111,t3pa,67.56,1861500
26.09.2022,t3pa,66.02,2510500
27.09.2022,t3pa,67.7,2510500
28.09.2022,t3pa,64.71,3101500
29.09.2022,t3pa,64.7,2510500
30.09.2022,t3pa,66.87,1861500
0.155347222,t3pa,64.45,2510500
0.197013889,t3pa,66.17,2510500
0.280347222,t3pa,65.76,2510500
0.322013889,t3pa,67.52,1861500
0.447013889,t3pa,67.01,2510500
0.488680556,t3pa,66.34,2510500
0.530347222,t3pa,65.76,3101500
0.572013889,t3pa,66.65,2510500
0.613680556,t3pa,67.7,1861500
0.738680556,t3pa,66.25,2510500
0.780347222,t3pa,67.11,2510500
0.863680556,t3pa,67.01,2510500
0.905347222,t3pa,67.9,1861500
24.10.2022,t3pa,68.02,2510500
25.10.2022,t3pa,74.17,2510500
26.10.2022,t3pa,76.51,3101500
27.10.2022,t3pa,77.1,2510500
28.10.2022,t3pa,80.76,1861500
31.10.2022,t3pa,78.69,2510500
0.072708333,t3pa,78.76,2510500
0.156041667,t3pa,76.63,2510500
0.197708333,t3pa,78.14,1861500
0.322708333,t3pa,76.75,2510500
0.364375,t3pa,76.02,2510500
0.406041667,t3pa,75.35,3101500
0.447708333,t3pa,71.62,2510500
0.489375,t3pa,73.33,1861500
0.614375,t3pa,74.85,2510500
0.656041667,t3pa,74.93,2510500
0.739375,t3pa,73.31,2510500
0.781041667,t3pa,72.22,1861500
0.906041667,t3pa,73.36,2510500
0.947708333,t3pa,73.54,2510500
0.989375,t3pa,74.08,3101500
24.11.2022,t3pa,76.64,2510500
25.11.2022,t3pa,79.36,1861500
28.11.2022,t3pa,77.61,2510500
29.11.2022,t3pa,78.88,2510500
0.073402778,t3pa,86.11,2510500
0.115069444,t3pa,85.21,1861500
0.240069444,t3pa,85.69,2510500
0.281736111,t3pa,86.48,2510500
0.323402778,t3pa,87,3102500
0.365069444,t3pa,87.91,2510500
0.406736111,t3pa,88.26,1861500
0.531736111,t3pa,88.35,2510500
0.573402778,t3pa,89.01,2510500
0.656736111,t3pa,86.16,2510500
0.698402778,t3pa,83.41,1865500
0.823402778,t3pa,84.1,2568500
0.399108796,t3pa,75.27,2409000
0.440775463,t3pa,78.61,2409000
0.524108796,t3pa,76.8,2409000
0.565775463,t3pa,76.42,1939500
0.690775463,t3pa,75.05,2409000
0.73244213,t3pa,75.04,2409000
0.774108796,t3pa,76.25,2676000
0.815775463,t3pa,82.06,2409000
0.85744213,t3pa,81.01,1939500
0.98244213,t3pa,81.52,2409000
24.01.2023,t3pa,80.88,2409000
26.01.2023,t3pa,83.51,2409000
27.01.2023,t3pa,86.71,1939500
30.01.2023,t3pa,85.2,2409000
31.01.2023,t3pa,86.68,2409000
0.066469907,t3pa,91.91,2676000
0.108136574,t3pa,93.5,2409000
0.149803241,t3pa,91.15,1939500
0.274803241,t3pa,91.78,2409000
0.316469907,t3pa,87.52,2409000
0.399803241,t3pa,87.36,2409000
0.441469907,t3pa,89.7,1939500
0.566469907,t3pa,88.86,2409000
0.608136574,t3pa,89.96,2409000
0.649803241,t3pa,87.75,2676000
0.691469907,t3pa,92.85,2409000
0.733136574,t3pa,93.69,1939500
0.858136574,t3pa,93.73,2409000
0.899803241,t3pa,95.35,2409000
0.983136574,t3pa,93.26,2409000
24.02.2023,t3pa,95.83,1939500
27.02.2023,t3pa,95.12,2409000
28.02.2023,t3pa,96.33,2409000
0.067164352,t3pa,95.89,2676000
0.108831019,t3pa,93.25,2409000
0.150497685,t3pa,88.81,1939500
0.275497685,t3pa,91.01,2409000
0.317164352,t3pa,91.56,2409000
0.400497685,t3pa,95.43,2409000
0.442164352,t3pa,95.16,1939500
0.567164352,t3pa,94.36,2409000
0.608831019,t3pa,92.34,2409000
0.650497685,t3pa,90.31,2676000
0.692164352,t3pa,83.25,2409000
0.733831019,t3pa,86.5,1939500
0.858831019,t3pa,82.46,2409000
0.900497685,t3pa,87.14,2409000
0.983831019,t3pa,88.27,2410500
24.03.2023,t3pa,88.09,1939500
27.03.2023,t3pa,85.18,2409000
28.03.2023,t3pa,86.54,2409000
29.03.2023,t3pa,87.16,2676000
30.03.2023,t3pa,87.42,2409000
31.03.2023,t3pa,88.61,1939500
0.15119213,t3pa,89.82,2409000
0.192858796,t3pa,94.12,2409000
0.27619213,t3pa,94.3,2409000
0.484525463,t3pa,95.52,2409000
0.52619213,t3pa,93.9,2676000
0.567858796,t3pa,90.51,2409000
0.609525463,t3pa,92.3,1939500
0.734525463,t3pa,90.55,2409000
0.77619213,t3pa,90.55,2409000
0.859525463,t3pa,90.68,2409000
0.90119213,t3pa,88.6,1939500
24.04.2023,t3pa,85.7,2409000
25.04.2023,t3pa,84.73,2409000
26.04.2023,t3pa,83.31,2676000
27.04.2023,t3pa,85,2409000
28.04.2023,t3pa,84,1939500
0.110219907,t3pa,83.24,2409000
0.193553241,t3pa,82.23,2409000
0.235219907,t3pa,84.38,1939500
0.360219907,t3pa,82.99,2409000
0.401886574,t3pa,83.84,2409000
0.443553241,t3pa,85.85,2676000
0.485219907,t3pa,86.75,2409000
0.526886574,t3pa,86.67,1939500
0.651886574,t3pa,85.7,2409000
0.693553241,t3pa,85.05,2409000
0.943553241,t3pa,85.2,2409000
0.985219907,t3pa,84.32,2409000
24.05.2023,t3pa,83,2676000
25.05.2023,t3pa,81.12,2409000
26.05.2023,t3pa,81.11,1939500
30.05.2023,t3pa,79.79,2409000
0.069247685,t3pa,78.62,2409000
0.110914352,t3pa,78.2,1939500
0.235914352,t3pa,78.55,2409000
0.277581019,t3pa,80.07,2409000
0.319247685,t3pa,78.25,2676000
0.360914352,t3pa,81.54,2409000
0.402581019,t3pa,83.11,1939500
0.527581019,t3pa,83.45,2409000
0.569247685,t3pa,86.44,2409000
0.652581019,t3pa,91.67,2409000
0.694247685,t3pa,89.3,1939500
0.819247685,t3pa,90.16,2409000
0.860914352,t3pa,91.55,2409000
0.902581019,t3pa,90.35,2676000
0.944247685,t3pa,87.11,2409000
0.985914352,t3pa,88.9,1939500
26.06.2023,t3pa,86.01,2409000
27.06.2023,t3pa,85.35,2410000
29.06.2023,t3pa,86.6,2409000
30.06.2023,t3pa,85.31,1939500
0.153275463,t3pa,87.11,2658000
0.19494213,t3pa,85,2658000
0.236608796,t3pa,84.84,2676000
0.278275463,t3pa,84.18,2658000
0.31994213,t3pa,84.82,1939500
0.44494213,t3pa,85,2658000
0.486608796,t3pa,83.62,2658000
0.56994213,t3pa,84.25,2658000
0.611608796,t3pa,85.51,1939500
0.736608796,t3pa,84.72,2658000
0.778275463,t3pa,84.9,2658000
0.81994213,t3pa,86.03,2676000
0.861608796,t3pa,87.76,2658000
0.903275463,t3pa,89.36,1939500
24.07.2023,t3pa,90.3,2658000
25.07.2023,t3pa,90.25,2658000
27.07.2023,t3pa,88.02,2658000
28.07.2023,t3pa,87.33,1939500
31.07.2023,t3pa,86.65,2658000
0.070636574,t3pa,84.69,1329000
0.112303241,t3pa,81.88,1338000
0.153969907,t3pa,83.52,1329000
0.195636574,t3pa,83.33,970000
0.320636574,t3pa,82.28,1329000
0.362303241,t3pa,81.46,1329000
0.445636574,t3pa,82.24,1329000
0.487303241,t3pa,84.2,970000
0.612303241,t3pa,85.34,1329000
0.653969907,t3pa,86.71,1329000
0.695636574,t3pa,87.01,1338000
0.737303241,t3pa,86.84,1329000
0.778969907,t3pa,86.68,970000
0.903969907,t3pa,86,1329000
0.945636574,t3pa,87.86,1329000
24.08.2023,t3pa,85.51,1329000
25.08.2023,t3pa,85.5,976500
28.08.2023,t3pa,84.7,1329000
29.08.2023,t3pa,84.64,1329000
30.08.2023,t3pa,84.57,1344500
31.08.2023,t3pa,85.52,1581500
0.071331019,t3pa,84,2147000
0.196331019,t3pa,83.42,3035500
0.237997685,t3pa,83.41,3035500
0.362997685,t3pa,82.09,2147000
0.487997685,t3pa,80.98,3035500
0.529664352,t3pa,80.6,3035500
0.571331019,t3pa,80.5,3347500
0.612997685,t3pa,81.69,3035500
0.654664352,t3pa,82.33,2147000
0.779664352,t3pa,80.26,3035500
0.821331019,t3pa,79.5,3035500
0.904664352,t3pa,81.78,3036500
0.946331019,t3pa,84.03,2147000
25.09.2023,t3pa,83.92,3035500
26.09.2023,t3pa,82.44,3035500
27.09.2023,t3pa,81.37,3347500
28.09.2023,t3pa,81.9,3035500
29.09.2023,t3pa,81.65,2147000
0.11369213,t3pa,80.95,3035500
0.155358796,t3pa,79.17,3035500
0.197025463,t3pa,78.78,1000000
0.23869213,t3pa,80.5,3035500
0.280358796,t3pa,79.95,2147000
0.405358796,t3pa,80.43,3035500
0.447025463,t3pa,81.82,3035500
0.48869213,t3pa,82.68,3347500
0.530358796,t3pa,83.35,3035500
0.572025463,t3pa,84.61,2147000
0.697025463,t3pa,83.4,3035500
0.73869213,t3pa,81.69,3035500
0.822025463,t3pa,79.99,3035500
0.86369213,t3pa,81.19,2147000
0.98869213,t3pa,79.92,3035500
24.10.2023,t3pa,80.4,3035500
25.10.2023,t3pa,79.85,3347500
26.10.2023,t3pa,79.48,3035500
27.10.2023,t3pa,79.41,2147000
30.10.2023,t3pa,79.78,3035500
31.10.2023,t3pa,77.65,3035500
0.114386574,t3pa,77.88,3035500
0.156053241,t3pa,78.35,2147000
0.281053241,t3pa,76.02,3035500
0.322719907,t3pa,75.58,3035500
0.364386574,t3pa,74.56,3347500
0.406053241,t3pa,75.75,3035500
0.447719907,t3pa,76.46,2147000
0.572719907,t3pa,77.01,3035500
0.614386574,t3pa,76.62,3035500
0.697719907,t3pa,79,3035500
0.739386574,t3pa,76.55,2147000
0.864386574,t3pa,76.35,3035500
0.906053241,t3pa,75.69,3035500
0.947719907,t3pa,74.84,3347500
0.989386574,t3pa,74.5,3035500
24.11.2023,t3pa,75.9,2147000
27.11.2023,t3pa,74.57,3035500
28.11.2023,t3pa,71.71,3035500
30.11.2023,t3pa,70.79,3035500
0.073414352,t3pa,71.45,2147000
0.198414352,t3pa,71.34,3035500
0.240081019,t3pa,69.94,3035500
0.281747685,t3pa,68.71,3350000
0.323414352,t3pa,68.76,3035500
0.365081019,t3pa,69.84,2147000
0.490081019,t3pa,67.82,3035500
0.531747685,t3pa,66.72,3035500
0.615081019,t3pa,68.45,3035500
0.656747685,t3pa,66.6,2151000
0.781747685,t3pa,66.49,3041500
0.64912037,t3pa,63.5,3099500
0.690787037,t3pa,63.2,3099500
0.732453704,t3pa,62.96,2310000
0.77412037,t3pa,61.28,3099500
0.815787037,t3pa,61.93,1796000
0.940787037,t3pa,59.74,3099500
0.982453704,t3pa,60.55,3099500
25.01.2024,t3pa,61.95,3099500
26.01.2024,t3pa,61.95,1796000
29.01.2024,t3pa,60.81,3099500
30.01.2024,t3pa,59.82,3099500
31.01.2024,t3pa,62.27,2310000
0.066481481,t3pa,61.09,3099500
0.108148148,t3pa,60.92,1796000
0.233148148,t3pa,60.68,3099500
0.274814815,t3pa,60.25,3099500
0.358148148,t3pa,59.85,3099500
0.399814815,t3pa,57.24,1796000
0.524814815,t3pa,55.84,3099500
0.566481481,t3pa,54.24,3099500
0.608148148,t3pa,54.07,2310000
0.649814815,t3pa,54.87,3099500
0.691481481,t3pa,55.12,1796000
0.816481481,t3pa,53,3099500
0.858148148,t3pa,51.8,3099500
0.941481481,t3pa,51.55,3099500
0.983148148,t3pa,49.5,1796000
26.02.2024,t3pa,50.65,3099500
27.02.2024,t3pa,51.12,3099500
28.02.2024,t3pa,54.94,2310000
29.02.2024,t3pa,54.9,3099500
0.067175926,t3pa,53.6,1796000
0.192175926,t3pa,51.76,3099500
0.233842593,t3pa,59.14,3099500
0.317175926,t3pa,56.94,3099500
0.358842593,t3pa,57.1,1796000
0.483842593,t3pa,54.43,3099500
0.525509259,t3pa,54.21,3099500
0.567175926,t3pa,54.92,2310000
0.608842593,t3pa,54.25,3099500
0.650509259,t3pa,57.75,1796000
0.775509259,t3pa,59.42,3099500
0.817175926,t3pa,59,3099500
0.900509259,t3pa,58,3104500
0.942175926,t3pa,57.93,1796000
25.03.2024,t3pa,62.09,3099500
26.03.2024,t3pa,63.25,3099500
27.03.2024,t3pa,60.56,2310000
28.03.2024,t3pa,59.86,3099500
0.109537037,t3pa,57.07,3099500
0.19287037,t3pa,56.37,3099500
0.234537037,t3pa,57.17,1796000
0.359537037,t3pa,58.41,3099500
0.401203704,t3pa,61.3,3099500
0.44287037,t3pa,63,2310000
0.484537037,t3pa,63.42,3099500
0.526203704,t3pa,68.01,1796000
0.651203704,t3pa,68.17,3099500
0.69287037,t3pa,70.61,3099500
0.776203704,t3pa,67.15,3099500
0.81787037,t3pa,67.77,1796000
0.94287037,t3pa,65.1,3099500
0.984537037,t3pa,64.28,3099500
24.04.2024,t3pa,65.35,2310000
25.04.2024,t3pa,65.08,3099500
26.04.2024,t3pa,65.66,1796000
29.04.2024,t3pa,63.52,3099500
30.04.2024,t3pa,65.26,3099500
0.110231481,t3pa,68.1,3099500
0.151898148,t3pa,71.18,1796000
0.276898148,t3pa,70.3,3099500
0.318564815,t3pa,69.16,3099500
0.360231481,t3pa,68.99,2310000
0.568564815,t3pa,68.48,3099500
0.610231481,t3pa,67.67,3099500
0.693564815,t3pa,68.26,3099500
0.735231481,t3pa,69.46,1796000
